1.0 5311 593.9600219727 64 724 576253504 940 0 978 
1.0 4722 597.5200195312 65 724 576253504 940 0 978 
1.0 4722 593.9600219727 66 724 576253504 940 0 978 
1.0 5812 39.0600013733 61 840 447693408 4576 0 840 
1.0 5331 161.8300018311 67 724 576253504 940 0 978 
1.0 5912 21.5499992371 67 724 449689504 940 0 978 
1.0 5994 38.1300010681 63 840 447689248 4576 0 840 
1.0 5813 2318.1699218750 93 392 576253504 6615 0 392 
1.0 5813 306 94 392 576253504 6615 0 392 
1.0 5541 0.0099999998 119 392 576253504 6615 0 392 
