000	0	0
002	1	1
003	0	1
003	1	2
005	0	2
014	1	3
015	0	3
015	1	4
026	0	4
036	1	5
040	0	5
046	1	6
047	0	6
047	0	6
050	0	6
103	1	7
111	0	7
114	0	7
114	0	7
114	1	8
119	0	8
123	1	9
128	0	9
155	0	9
159	1	10
215	1	11
239	0	11
240	0	11
245	0	11
245	1	12
311	0	12
313	1	13
320	1	14
328	1	15
328	1	16
403	0	16
404	1	17
408	0	17
411	1	18
413	0	18
416	0	18
416	1	19
418	0	19
418	0	19
432	0	19
446	1	20
449	0	20
451	0	20
451	1	21
456	1	22
505	0	22
506	0	22
524	1	23
530	0	23
535	1	24
550	0	24
552	0	24
553	1	25
555	0	25
609	1	26
620	1	27
627	0	27
632	1	28
640	0	28
652	1	29
654	1	30
657	1	31
705	1	32
707	1	33
711	1	34
717	0	34
725	0	34
735	1	35
749	1	36
801	1	37
802	1	38
814	1	39
818	1	40
820	1	41
834	1	42
840	1	43
844	0	43
844	1	44
847	1	45
847	1	46
848	1	47
850	1	48
854	1	49
859	0	49
912	0	49
912	1	50
920	0	50
931	1	51
932	0	51
932	0	51
939	0	51
941	1	52
943	0	52
943	1	53
955	0	53
