000	0	0
002	1	1
003	0	1
003	1	2
005	0	2
014	1	3
015	0	3
015	1	4
026	0	4
036	1	5
040	0	5
046	1	6
047	0	6
047	0	6
050	0	6
103	1	7
111	0	7
114	0	7
114	1	8
114	1	9
119	0	9
123	1	10
128	0	10
155	0	10
159	1	11
215	1	12
239	0	12
240	0	12
245	0	12
245	1	13
311	0	13
313	1	14
320	1	15
328	1	16
328	1	17
403	0	17
404	1	18
408	0	18
411	1	19
413	0	19
416	0	19
416	1	20
418	0	20
418	0	20
432	0	20
446	1	21
449	1	22
451	0	22
451	1	23
456	1	24
505	0	24
506	0	24
524	1	25
530	0	25
535	1	26
550	0	26
552	0	26
553	1	27
555	0	27
609	1	28
620	1	29
627	0	29
632	1	30
640	0	30
652	1	31
654	1	32
657	1	33
705	1	34
707	1	35
711	1	36
717	0	36
725	0	36
735	1	37
749	1	38
801	1	39
802	1	40
814	1	41
818	1	42
820	1	43
834	1	44
840	1	45
844	0	45
844	1	46
847	1	47
847	1	48
848	1	49
850	1	50
854	1	51
859	0	51
912	1	52
912	1	53
920	0	53
931	1	54
932	0	54
932	0	54
939	0	54
941	1	55
943	0	55
943	1	56
955	0	56
